"10013";"ТП №2 В Г. БИЙСКЕ МЕЖРАЙОННОГО ОТДЕЛА №2 УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ";"220-077"
"10014";"ТП №2 В Г. РУБЦОВСКЕ МЕЖРАЙОННОГО ОТДЕЛА №10 УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ";"220-078"
"10015";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В СОВЕТСКОМ Р-НЕ Г. КРАСНОЯРСКА";"240-004"
"10016";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В СОВЕТСКОМ Р-НЕ Г. КРАСНОЯРСКА";"240-005"
"10017";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В КАНСКОМ Р-НЕ";"240-011"
"10018";"ОТДЕЛ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В МИНУСИНСКОМ Р-НЕ";"240-013"
"10019";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В Г. НОРИЛЬСКЕ";"240-016"
"10020";"ОТДЕЛЕНИЕ №2(С МЕСТОМ ДИСЛОКАЦИИ В Р-НЕ КАЙЕРКАН Г.НОРИЛЬСКА) ОУФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В Г.НОРИЛЬСКЕ";"240-016"
"10021";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В Г. НОРИЛЬСКЕ";"240-017"
"10022";"ОТДЕЛЕНИЕ №1(С МЕСТОМ ДИСЛОКАЦИИ В Р-НЕ ТАЛНАХ Г.НОРИЛЬСКА) ОТДЕЛА УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В Г.НОРИЛЬСКЕ";"240-017"
"10023";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ЖЕЛЕЗНОДОРОЖНОМ Р-НЕ Г.КРАСНОЯРСКА";"240-019"
"10024";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ Р-НЕ Г. КРАСНОЯРСКА";"240-020"
"10025";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ПОС. КЕДРОВЫЙ";"240-025"
"10026";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ЕНИСЕЙСКОМ Р-НЕ";"240-026"
"10027";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ЕНИСЕЙСКОМ Р-НЕ";"240-027"
"10028";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ЕНИСЕЙСКОМ Р-НЕ";"240-028"
"10029";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В КУРАГИНСКОМ Р-НЕ";"240-030"
"10030";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В НИЖНЕИНГАШСКОМ Р-НЕ";"240-032"
"10031";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В УЖУРСКОМ Р-НЕ";"240-035"
"10032";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ШАРЫПОВСКОМ Р-НЕ";"240-038"
"10033";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В АБАНСКОМ Р-НЕ";"240-042"
"10034";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В БАЛАХТИНСКОМ Р-НЕ";"240-043"
"10035";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В БЕРЕЗОВСКОМ Р-НЕ";"240-044"
"10036";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ИЛАНСКОМ Р-НЕ";"240-052"
"10037";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В КЕЖЕМСКОМ Р-НЕ";"240-056"
"10038";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ТУРУХАНСКОМ Р-НЕ";"240-068"
"10039";"ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ТУРУХАНСКОМ Р-НЕ";"240-069"
"10040";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ТАЙМЫРСКОМ (ДОЛГАНО-НЕНЕЦКОМ) МУНИЦИПАЛЬНОМ Р-НЕ";"240-071"
"10041";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ЭВЕНКИЙСКОМ МУНИЦИПАЛЬНОМ Р-НЕ";"240-075"
"10042";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В КРАСНОАРМЕЙСКОМ Р-НЕ";"250-030"
"10043";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ЛАЗОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ";"250-032"
"10044";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ЛЕСОЗАВОДСКОМ ГОРОДСКОМ ОКРУГЕ";"250-034"
"10045";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ОКТЯБРЬСКОМ Р-НЕ";"250-036"
"10046";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ОЛЬГИНСКОМ Р-НЕ";"250-038"
"10047";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ПАРТИЗАНСКОМ ГОРОДСКОМ ОКРУГЕ";"250-039"
"10048";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ПОГРАНИЧНОМ МУНИЦИПАЛЬНОМ РАЙОНЕ";"250-042"
"10049";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ПОЖАРСКОМ Р-НЕ";"250-043"
"10050";"МЕЖРАЙОННОЕ ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ ПО ГОРОДСКОМУ ОКРУГУ СПАССК-ДАЛЬНИЙ И СПАССКОМУ МУНИЦИПАЛЬНОМУ РАЙОНУ";"250-044"
"10051";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ХАНКАЙСКОМ Р-НЕ";"250-048"
"10052";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ХАСАНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ";"250-049"
"10053";"ОУФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ХАСАНСКОМ Р-НЕ";"250-053"
"10054";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ХОРОЛЬСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ";"250-053"
"10055";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ЧЕРНИГОВСКОМ Р-НЕ";"250-055"
"10056";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ЯКОВЛЕВСКОМ Р-НЕ";"250-058"
"10057";"ДЧ ПЕРВОРЕЧЕНСКОГО РУВД Г. ВЛАДИВОСТОКА";"251-001"
"10058";"ДЧ УВД ПРИМОРСКОГО КРАЯ";"251-001"
"10059";"ДЧ ФРУНЗЕНСКОГО РУВД Г. ВЛАДИВОСТОКА";"251-001"
"10060";"УВД ПРИМОРСКОГО КРАЯ";"251-001"
"10061";"ОВД КАНСКОГО Р-НА КРАСНОЯРСКОГО КРАЯ";"242-061"
"10062";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В Г. ЗЕЛЕНОГОРСКЕ";"242-061"
"10063";"ОУФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ПЕРВОМАЙСКОМ Р-НЕ Г.ВЛАДИВОСТОКА";"250-004"
"10064";"ОУФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ПЕРВОРЕЧЕНСКОМ Р-НЕ Г. ВЛАДИВОСТОКА";"250-005"
"10065";"ОУФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В СОВЕТСКОМ Р-НЕ Г.ВЛАДИВОСТОКА";"250-006"
"10066";"ОУФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ ВО ФРУНЗЕНСКОМ Р-НЕ Г.ВЛАДИВОСТОКА";"250-008"
"10067";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В НАДЕЖДИНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ";"250-010"
"10068";"ОТДЕЛ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В НАХОДКИНСКОМ ГОРОДСКОМ ОКРУГЕ";"250-015"
"10069";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ДАЛЬНЕГОРСКОМ ГОРОДСКОМ ОКРУГЕ";"250-026"
"10070";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В КАВАЛЕРОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ";"250-028"
"10071";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В КИРОВСКОМ Р-НЕ Г. ХАБАРОВСКА";"270-004"
"10072";"ОТДЕЛ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В СЕВЕРНОМ ОКРУГЕ Г. ХАБАРОВСКА";"270-005"
"10073";"МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В Г. КОМСОМОЛЬСКЕ-НА-АМУРЕ";"270-007"
"10074";"МО УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ ОКРУГЕ Г. КОМСОМОЛЬСКА-НА-АМУРЕ";"270-008"
"10075";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ ОКРУГЕ Г. КОМСОМОЛЬСКА-НА-АМУРЕ";"270-008"
"10076";"МО УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В ЛЕНИНСКОМ ОКРУГЕ Г. КОМСОМОЛЬСКА-НА-АМУРЕ";"270-009"
"10077";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В ЛЕНИНСКОМ ОКРУГЕ Г. КОМСОМОЛЬСКА-НА-АМУРЕ";"270-009"
"10078";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В НИКОЛАЕВСКОМ Р-НЕ";"270-019"
"10079";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В СОВЕТСКО ГАВАНСКОМ Р-НЕ";"270-022"
"10080";"МО УФМС РОССИИ ПО ХАБАРОВСКОМУ КРАЮ В НИКОЛАЕВСКОМ И ТУГУРО-ЧУМИКАНСКОМ МУНИЦИПАЛЬНЫХ Р-НАХ";"270-027"
"10081";"МО УФМС РОССИИ ПО АМУРСКОЙ ОБЛ. В Г.БЕЛОГОРСКЕ";"280-003"
"10082";"ТП УФМС РОССИИ ПО АМУРСКОЙ ОБЛ. В ПОС. СОЛОВЬЕВСК";"280-029"
"10083";"УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ.";"291-001"
"10084";"ОТДЕЛЕНИЕ № 2 ОТДЕЛА УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ. В Г. СТАРЫЙ ОСКОЛ";"310-021"
"10085";"МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ДЯТЬКОВО";"320-010"
"10086";"ТП В ПГТ БАЛАКИРЕВО ОУФМС РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛ. В АЛЕКСАНДРОВСКОМ Р-НЕ";"330-002"
"10087";"ТП В Г. КАРАБАНОВО ОУФМС РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛ. В АЛЕКСАНДРОВСКОМ Р-НЕ";"330-003"
"10088";"ТП В Г. СТРУНИНО МРО УФМС РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛ. В Г. АЛЕКСАНДРОВ";"330-004"
"10089";"ТП УФМС РОССИИ ПО ВОЛОГОДСКОЙ ОБЛАСТИ В ВЫТЕГОРСКОМ РАЙОНЕ";"350-013"
"10090";"ТП УФМС РОССИИ ПО ВОЛОГОДСКОЙ ОБЛАСТИ В ТОТЕМСКОМ РАЙОНЕ";"350-023"
"10091";"ТП УФМС РОССИИ ПО ВОЛОГОДСКОЙ ОБЛАСТИ В Г.ВОЛОГДА-20";"350-030"
"10092";"ТП В ПОС. ЛЯНГАСОВО ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕНИНСКОМ РАЙОНЕ Г. КИРОВА";"430-045"
"10093";"КОЛОДЕЗЯНСКОЕ ОМ КАШИРСКОГО Р-НА ВОРОНЕЖСКОЙ ОБЛ.";"363-003"
"10094";"ЗЕМЛЯНСКОЕ ОМ СЕМИЛУКСКОГО Р-НА ВОРОНЕЖСКОЙ ОБЛ.";"363-004"
"10095";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КАЛИНИНГРАДСКОЙ ОБЛ. ЦЕНТРАЛЬНОГО Р-НА Г. КАЛИНИНГРАДА";"390-006"
"10096";"ТП УФМС РОССИИ ПО КАЛИНИНГРАДСКОЙ ОБЛ. Г. ЛАДУШКИНА";"390-008"
"10097";"Наволокское отделение милиции УВД Кинешемского района Ивановской области";"373-003"
"10098";"Писцовское отделение милиции ОВД Комсомольского района Ивановской области";"373-004"
"10099";"ПОСТ ИММИГРАЦИОННОГО КОНТРОЛЯ БРЯНСК - 1";"320-033"
"10100";"УПРАВЛЕНИЕ ФМС РОССИИ ПО БРЯНСКОЙ ОБЛ.";"320-033"
"10101";"УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ.";"320-033"
"10102";"ОТДЕЛ УФМС РОССИИ ПО КАЛУЖСКОЙ ОБЛ. В ЛЕНИНСКОМ ОКРУГЕ Г. КАЛУГИ";"402-001"
"10103";"ОТДЕЛЕНИЕ № 2 ОФМС РОССИИ ПО КАМЧАТСКОЙ ОБЛ. В Г.ПЕТРОПАВЛОВСКЕ-КАМЧАТСКОМ";"410-002"
"10104";"ОФМС РОССИИ ПО КАМЧАТСКОМУ КРАЮ В Г.ПЕТРОПАВЛОВСКЕ-КАМЧАТСКОМ";"410-002"
"10105";"РЕЗЕРВ";"410-003"
"10106";"РЕЗЕРВ";"410-004"
"10107";"РЕЗЕРВ";"410-016"
"10108";"ОВД ЕЛИЗОВСКОГО РАЙОННОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КАМЧАТСКОЙ ОБЛ.";"412-005"
"10109";"ОЗЕРНОВСКОЕ ПОМ ОВД УСТЬ-БОЛЬШЕРЕЦКОГО РАЙОННОГО МО КАМЧАТСКОЙ ОБЛ.";"412-012"
"10110";"ОМ ОТДЕЛА ВНУТРЕННИХ ДЕЛ Г. ВИЛЮЧИНСКА КАМЧАТСКОЙ ОБЛ.";"412-015"
"10111";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ";"430-004"
"10112";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В БОГОРОДСКОМ РАЙОНЕ";"430-004"
"10113";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЕРХНЕКАМСКОМ Р-НЕ";"430-005"
"10114";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ";"430-013"
"10115";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КОТЕЛЬНИЧСКОМ РАЙОНЕ";"430-013"
"10116";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ";"430-014"
"10117";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В КУМЕНСКОМ РАЙОНЕ";"430-014"
"10118";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ НОЛИНСКЕ";"430-021"
"10119";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НОЛИНСКОМ РАЙОНЕ";"430-021"
"10120";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОМУТНИНСКОМ РАЙОНЕ";"430-022"
"10121";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОРИЧЕВСКОМ РАЙОНЕ";"430-024"
"10122";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СВЕЧИНСКОМ РАЙОНЕ";"430-029"
"10123";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ";"430-030"
"10124";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ НОЛИНСКЕ";"430-032"
"10125";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СУНСКОМ РАЙОНЕ";"430-032"
"10126";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ТУЖИНСКОМ РАЙОНЕ";"430-033"
"10127";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УРЖУМСКОМ РАЙОНЕ";"430-035"
"10128";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ";"430-038"
"10129";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ ЯРАНСКЕ";"430-039"
"10130";"ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЯРАНСКОМ РАЙОНЕ";"430-039"
"10131";"ТП В ПОС. ВАХРУШИ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ";"430-048"
"10132";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КАЛИНИНГРАДСКОЙ ОБЛ. СОВЕТСКОГО Р-НА";"390-025"
"10133";"УФМС РОССИИ ПО КУРГАНСКОЙ ОБЛ.";"451-001"
"10135";"ЧЕРНОГОЛОВСКИЙ ГОМ НОГИНСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"503-063"
"10136";"ОТДЕЛ МИЛИЦИИ №1 УВД ОДИНЦОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"503-064"
"10137";"ОТДЕЛ МИЛИЦИИ №2 УВД ОДИНЦОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"503-065"
"10138";"КУБИНСКИЙ ОТДЕЛ МИЛИЦИИ УВД ОДИНЦОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"503-067"
"10139";"УСПЕНСКОЕ ПОМ ОДИНЦОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"503-068"
"10140";"НЕМЧИНОВСКИЙ ОТДЕЛ МИЛИЦИИ УВД ОДИНЦОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"503-070"
"10141";"ОТДЕЛ ФМС РОССИИ ПО МАГАДАНСКОЙ ОБЛ.";"490-001"
"10142";"ОФМС РОССИИ ПО МАГАДАНСКОЙ ОБЛ.";"490-001"
"10143";"ТП В ПОС. ЧЕРНОГОЛОВКЕ ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В НОГИНСКОМ Р-НЕ";"500-100"
"10144";"ТП ""ЦЕНТРАЛЬНЫЙ"" ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В Г. КОЛОМНЕ";"500-051"
"10145";"ОТДЕЛЕНИЕ ЮБИЛЕЙНЫЙ-БОЛШЕВО ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В Г. КОРОЛЁВЕ";"500-057"
"10146";"ТП В ПОС. МОСКОВСКОМ ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В ЛЕНИНСКОМ Р-НЕ";"500-064"
"10147";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ В Г. ЛОБНЯ";"500-067"
"10148";"ОТДЕЛЕНИЕ ПО ГОРОДСКОМУ ОКРУГУ ФРЯЗИНО МО УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ В ГОРОДСКОМ ПОСЕЛЕНИИ ЩЕЛКОВО";"500-180"
"10149";"ТП №3 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ ПО СЕРГИЕВО-ПОСАДСКОМУ МУНИЦИПАЛЬНОМУ РАЙОНУ";"500-192"
"10150";"ТП В Г.СЕРПУХОВ-15 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В Г. СЕРПУХОВЕ";"500-196"
"10151";"ТП В ПОС. МОНИНО ЩЕЛКОВСКОГО Р-НА УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-197"
"10152";"ТП СОФРИНО-1 ОТДЕЛА УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В ПУШКИНСКОМ Р-НЕ";"500-198"
"10153";"ТП В Г. СЕРГИЕВ ПОСАД-6 УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-200"
"10154";"ТП В Г. КАШИРА-8 ОТДЕЛЕНИЯ УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В КАШИРСКОМ Р-НЕ";"500-201"
"10155";"ТП В Г. ЛУХОВИЦЫ-3 УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-202"
"10156";"ТП В П. НЕРАСТАННОЕ ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В ЧЕХОВСКОМ Р-НЕ";"500-204"
"10157";"ТП УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В ПОС. НЕРАСТАННОЕ ЧЕХОВСКОГО Р-НА";"500-204"
"10158";"ТП В ПОС. ВОСХОД УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-206"
"10159";"ТП В Г. МОЖАЙСКЕ-3 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В МОЖАЙСКОМ Р-НЕ";"500-207"
"10160";"ТП В Г. МОЖАЙСКЕ-3 УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-207"
"10161";"ТП В Г. НОГИНСК-5 УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В НОГИНСКОМ Р-НЕ";"500-210"
"10162";"ТП №2 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ ПО КЛИНСКОМУ МУНИЦИПАЛЬНОМУ РАЙОНУ";"500-212"
"10163";"ТП Г. КОЛОМНА-1 КОЛОМЕНСКОГО Р-НА УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-215"
"10164";"ТП Г. КОЛОМНА-1 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В Г.КОЛОМНЕ";"500-215"
"10165";"ТП №2 В ПОС. БЕЛООМУТ УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-216"
"10166";"ТП №2 В ПОС. БЕЛООМУТЕ УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.";"500-216"
"10167";"ОВД ЖУКОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-005"
"10168";"ОВД Г. ЮБИЛЕЙНЫЙ КОРОЛЕВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-009"
"10169";"ОВД Г. ЛЫТКАРИНО УВД ЛЮБЕРЕЦКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-012"
"10170";"ОВД Г. ДОЛГОПРУДНОГО УВД МЫТИЩИНСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-014"
"10171";"ОВД Г.ЗВЕНИГ. УВД ОДИНЦОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-016"
"10172";"ОВД Г.ЩЕРБИНКИ УВД Г.ПОДОЛЬСКА И ПОДОЛЬСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-019"
"10173";"ОВД Г.ИВАНТЕЕВКИ УВД ПУШКИНСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-022"
"10174";"ПУЩИНСКИЙ ОВД СЕРПУХОВСКОГО Р-НА МОСКОВСКОЙ ОБЛ.";"502-025"
